TF	Gene	Confidence
Bach1	Plekha1	0.48361053
Klf4	Plod2	0.483335766
Egr1	Slc1a4	0.482858962
Sox4	Sfmbt2	0.482779881
Cebpb	Vwa5a	0.482585952
Irf4	Ptprc	0.481392494
E2f1	Ctnna1	0.481077721
Zfx	Atp11a	0.480420669
Tef	Tcf12	0.480309398
Zbtb7b	Gpr146	0.480205519
Rreb1	Ptprc	0.479497597
Pou2f2	Hist3h2a	0.479413752
Irf7	Cd44	0.479322712
Rel	Socs1	0.479196595
Klf4	Cs	0.478409149
Fosl2	Pim1	0.477880887
Zfp202	Ncs1	0.47778867
Fli1	Eef1a1	0.477552005
Arid3a	Pim1	0.477489455
Bcl6	Ccdc92	0.477488669
Irf4	Sytl2	0.474584689
Irf1	BC094916	0.474330358
Rest	Ptprs	0.47292087
Relb	Irf7	0.472741203
Egr2	Sesn1	0.472659266
Fosb	Sqstm1	0.472302096
Stat3	Lif	0.471316074
Foxn2	Ctss	0.471223026
Atf2	Gdi1	0.470004234
Irf4	Sfmbt2	0.469837933
Tcf3	Ccr7	0.469265613
Stat3	Irf4	0.468971231
Stat4	Flot1	0.468897648
Klf9	Pknox1	0.468782421
Bcl6	Nedd4	0.468308546
Myb	Rgs1	0.467861699
Rxra	Krtcap2	0.467624643
Tef	Avpi1	0.46721847
Egr1	Fundc2	0.467147696
Bcl6	Bmpr1a	0.466201587
Etv6	Afp	0.466070054
Fosl1	Pgs1	0.465619466
Nfkb1	Stat5b	0.465032444
Fos	Lgals1	0.463195941
Batf	Aim1	0.462688998
Fos	Abcg2	0.462636553
Srebf1	Anln	0.462181961
Elk3	Epsti1	0.461633335
Sp2	Moap1	0.461540781
Irf1	Enpp1	0.460560055
Stat3	Hook2	0.46049458
Nr3c1	Mpdu1	0.459743658
Batf	Cd86	0.459043285
Egr1	Asns	0.459037675
Mxi1	Ptp4a3	0.458821939
Sp2	Rpa2	0.458059695
Egr2	Satb1	0.45790676
Ahctf1	Tfpi	0.457706718
Irf7	Tex15	0.457082977
Irf8	Stat2	0.45700074
Rxra	Lpcat1	0.454266529
Elf1	Pbx2	0.454039199
Jun	Tle1	0.453554516
Jun	Twsg1	0.453379
Bcl6	Acsl4	0.453357596
Srebf1	Pltp	0.452905166
Mafg	Prickle1	0.451469459
Srebf2	Chd7	0.451250112
Creb1	Nr4a3	0.451147394
Klf9	Smg5	0.450909943
Cdc5l	Mllt3	0.450397898
Rxra	Dhrs4	0.449476738
Pbx2	Cd28	0.449412244
Gabpa	Rpl14	0.449296432
Sox4	Trim26	0.448299224
Stat2	Trim26	0.447940375
Atf3	Ninj1	0.447797925
Irf8	Tapbp	0.447460675
Irf7	Mboat7	0.447028519
Klf4	Chst12	0.446956348
E2f1	Dhcr7	0.446689987
Egr1	Pmm1	0.4465813
Egr1	Wrnip1	0.446574188
Sox4	Cnot1	0.446536683
Zfp281	Tnfrsf12a	0.446336144
Fosl1	Ddr1	0.446110127
Nfkb2	Tnf	0.44542116
Cebpb	Cyfip2	0.445118831
Stat3	Nek6	0.444662939
Rreb1	Mnda	0.444428194
Irf9	Map3k5	0.444369237
Batf	Flot1	0.444339807
Gabpa	Tyw1	0.4442403
Junb	Sun1	0.443439822
Stat2	Isg20	0.443330966
Rela	Rcsd1	0.441988231
Foxo3	S100a6	0.441642717
Rel	Runx2	0.441630046
Egr3	Prpsap2	0.441388497
Egr1	P4hb	0.441369775
E4f1	Ankrd13c	0.441214484
Cebpb	Tax1bp3	0.440924223
Lef1	Kdm2b	0.440026732
Batf	Tspyl4	0.439013631
Rest	Rxra	0.438855066
Stat1	Endod1	0.43872508
Egr1	Nxn	0.438509812
Egr1	Rhoq	0.438331157
Fosl2	Sytl2	0.436746653
Foxo1	Myb	0.43646134
Rara	Hexim1	0.435739749
Bcl6	Il1r1	0.435550688
Rreb1	Fas	0.433896515
Jun	Ptpn2	0.433883957
Egr1	Txndc17	0.433814733
Relb	Bcl3	0.432601913
Mafg	Uros	0.431596242
E2f1	Zdhhc2	0.431103144
Bcl6	Ptpn1	0.430945397
Bcl6	Flna	0.430912577
Egr2	Nsg2	0.428189289
Sp2	Cst3	0.427370351
Cic	Snx10	0.427134924
Stat4	Bcl3	0.427065776
Hif1a	Egln1	0.426131057
Egr3	Chka	0.42531429
Tcf12	Gpr83	0.425039865
Irf4	Arhgap17	0.425016383
Rel	Cxcl10	0.424358371
Irf4	Nsg2	0.422951067
Nr3c1	Endod1	0.422705414
Rxra	0610007P14Rik	0.422690529
Tcf12	Tmed3	0.421919173
Irf2	Ptprc	0.421300971
Fosl1	Rnf130	0.421139199
Egr2	Sertad3	0.420858567
Fos	Ehd4	0.42084368
Runx1	E330009J07Rik	0.420732028
Egr3	Zfpm1	0.420640599
Hmga1_Hmga1-rs1	Il4ra	0.420318434
Bcl11b	Abcg2	0.420130859
Fosl1	Cysltr1	0.420048901
Bhlhe40	Dazap2	0.419819397
Klf7	Pmm1	0.419488455
Bcl11b	Sh3bp5	0.419410168
Pou2f2	Sesn1	0.419152046
Foxo3	Cd28	0.418448102
Myc	Rpgrip1	0.417924407
Bcl6	Crip1	0.417762285
Stat3	Ncs1	0.417651102
Runx2	Cd9	0.417580912
Zkscan1	Fap	0.417240709
Nr1h2_Nr1h3	Acox1	0.417125969
Gfi1	Cyp1b1	0.416924826
Fosl1	Wdfy2	0.416164766
Sp3	Pafah1b3	0.414928863
Irf7	Fut8	0.414685305
Egr1	Zmat3	0.414216397
Bach1	Ankrd13c	0.413994059
Zbtb7b	Tiparp	0.413380589
Irf4	Tox	0.41314626
Batf	Pgs1	0.412289295
Egr3	Pknox1	0.411702161
Atf3	Cxcr6	0.411648494
Gabpa	Naca	0.411276944
Ets2	Fbxo4	0.410329761
Irf4	Slfn2	0.410224204
Atf3	Rnf130	0.409847752
Fos	Chac1	0.409605207
Mafg	Serpinb9	0.409378911
Rela	Pde8a	0.409349014
Maff	Snx10	0.409196166
Cebpg	Hist1h1c	0.408826196
Arid3a	St7	0.40878054
Stat1	Stx7	0.408446148
Egr2	Flot2	0.408166419
Irf1	Gimap7	0.408132868
Gabpa	Bzw2	0.407580329
Cebpb	Edem1	0.407492059
Pou2f2	Hbs1l	0.407269552
Stat1	Fbxo18	0.406758986
Egr1	Adarb1	0.406756112
Mafg	Phtf2	0.406698951
Myc	Slc39a14	0.406554088
Fosl1	Rhoq	0.406297894
Crem	Idi1	0.406152089
Egr2	Ypel5	0.405664904
Crem	Vps37b	0.405289194
Cebpg	Antxr2	0.40495379
Zbtb7a	Rgs19	0.403114565
Egr1	Hmgn1	0.403034345
Sp2	Tmbim1	0.402102556
Klf7	Psph	0.401654843
Irf2	Exoc6	0.401628504
Runx1	Sdcbp2	0.401599409
Egr3	Bzw2	0.400611697
Lef1	Mcoln2	0.400277898
Atf5	Antxr2	0.398880229
Runx1	Arrb1	0.398870315
Zfx	Reps1	0.39832707
Cebpb	BC021614	0.397754787
Sp2	Fads2	0.397734412
Stat1	Tspan13	0.39735202
Cebpg	Il7r	0.396569659
Stat4	Frmd4b	0.39523721
Rela	Wipf1	0.394416588
Rbpj	Sox4	0.39379567
Runx1	Pxn	0.393751203
Stat2	Clec2i	0.393247557
Cux1	Galnt3	0.392532085
Bach1	Fbxo11	0.391610595
Rreb1	2310033P09Rik	0.38991683
Runx1	Padi2	0.389864433
Cebpb	Ahnak	0.389700106
Egr1	Rpgrip1	0.389389033
Ets1	Hemk1	0.388995024
Zbtb7b	Itpr3	0.388797347
Egr1	Adam10	0.388762612
Bcl6	Nek6	0.388695395
Klf7	Wdr82	0.388580577
Jun	Vav1	0.388397657
Bach1	Cd9	0.388341599
Myb	Dhrs1	0.388286336
Sp2	Rnh1	0.387791264
Sp3	Eid1	0.386930103
Cebpb	Rxra	0.386352566
Zbtb7b	Id3	0.386192533
Atf6	Arf1	0.385952864
Fli1	M6pr	0.385835826
Srebf2	Dctn4	0.385708229
Klf13	Sun1	0.38530162
Lyl1_Tal2	Fam83g	0.384769556
Batf	Tbc1d14	0.384306533
Gabpa	Ptpn11	0.384253259
Arid3a	Pxn	0.383926175
Klf3	Irf7	0.383628928
Egr1	Tmbim1	0.383277952
Egr1	Slc6a6	0.383185179
Klf13	Impdh1	0.382985817
Nr1d2	Il1r1	0.382798114
Fli1	Cstf2t	0.382624425
Bcl6	Ralb	0.38214601
E2f1	Dhrs4	0.382046733
Elk3	Syf2	0.381535777
Sox4	Celf2	0.381175264
Batf	Pml	0.380307786
Klf3	Hexb	0.380135211
Stat3	Pccb	0.380073505
Jun	Sdcbp2	0.379863829
Ahr	Snx9	0.379762881
Junb	Sorl1	0.379028924
Klf3	Nsmaf	0.379012861
Atf3	Pltp	0.378836317
Batf	Cd47	0.378563659
Fosl1	Bzw2	0.377490511
Fosl1	Surf4	0.376505459
Sox4	Gimap7	0.376266205
Elk3	Gimap4	0.37615122
Tcf12	Me2	0.375814467
Egr2	Exosc8	0.375582216
Nr1h2_Nr1h3	Rab8b	0.375089128
Fosl2	R3hdm1	0.375089073
Cebpb	Ivd	0.375002225
Bcl6	Hk1	0.374813377
Fosl1	Creb3l2	0.374425362
Hmga1_Hmga1-rs1	Basp1	0.372849806
Srebf2	Mapk11	0.372618948
Zbtb7b	Cdc42ep3	0.371229523
Bcl6	Ikzf4	0.370529473
Fos	Myo18a	0.370094168
Atf5	Rab20	0.369967613
Bcl6	1190002N15Rik	0.369350878
Klf2	Nfat5	0.369089504
Stat3	4833439L19Rik	0.369012522
Runx1	Dst	0.368641388
Myc	Wee1	0.367918972
Bcl6	Hemk1	0.367693254
Stat4	Ier3	0.366475764
Sp3	Cdc25b	0.365731616
Atf3	Plekhf2	0.365135431
Klf2	Zfp36l1	0.364460537
Batf	Helb	0.362871276
Irf4	Sorl1	0.359079775
Irf1	Gbp4	0.358925095
Rel	Cd86	0.358278988
Irf7	Ripk2	0.358258882
Batf	Fli1	0.358086196
Sp4	Stard5	0.35755777
Klf4	Gja1	0.355138666
Klf4	D1Ertd622e	0.355086584
Cebpg	Ripk3	0.355048936
Mafg	1190002N15Rik	0.35488399
Mafg	Vav3	0.354518922
Fli1	Lclat1	0.354489138
Stat4	Pgs1	0.35417541
Atf3	Rab20	0.353610555
Zfp281	Rreb1	0.353567063
Cebpb	Mpdu1	0.353537535
Atf3	Rpl24	0.35307447
Elk4	Lta	0.351037848
Atf2	Naga	0.350883258
Runx2	Rap2b	0.34987464
Rel	Hspa4l	0.34978061
Srebf2	Ptprcap	0.349454113
Irf4	Epsti1	0.348863836
Batf	Gem	0.348349041
Fosl1	Bmpr1a	0.347909314
Rela	Reps1	0.346746342
Irf1	Plaur	0.346169886
Irf1	Lgals3bp	0.345995642
Cebpb	Slco3a1	0.345707733
Srebf2	Lrrfip1	0.345581634
Rela	Itpr1	0.345265978
Srebf1	Pgm1	0.345228432
E2f1	Gatm	0.345014194
Smad4	Notch1	0.344983835
Creb1	Hspa4l	0.344911991
Xbp1	D1Ertd622e	0.344587103
Egr3	Larp1b	0.344504522
Klf3	Gpr146	0.34441192
Sp3	Zfp7	0.343863287
Batf	Sla2	0.343000814
Stat1	Rtn4	0.341511501
Smad4	Ninj1	0.341475324
Egr3	Cstf2t	0.34025783
Atf3	Id1	0.340199404
Batf	Rad52	0.338918156
Irf2	Tubgcp5	0.338784981
Arid5a	Exoc4	0.338669281
Atf3	Creb3l2	0.338484607
Erf	Rhbdf1	0.337799934
Batf	Fosl2	0.337420835
Runx1	Aim1	0.336800972
Atf3	Gnpda1	0.336717365
Jun	Socs3	0.335823543
Irf4	Agpat3	0.335335789
Srebf1	Cln6	0.335120118
Irf2	Cmtm7	0.333109904
Egr1	Tmem38b	0.33229655
Topors	Bpnt1	0.332284444
Rxra	Slc19a2	0.332245545
Stat1	Stra6	0.331984935
Rela	Cd4	0.331933414
Bcl6	Mgll	0.331883959
Myc	Tnfrsf21	0.330812955
Egr1	Map3k14	0.330468083
Batf	Pstpip1	0.329126095
Bcl6	Basp1	0.32888812
Bach1	Srpk1	0.328800055
E2f1	Mboat7	0.326777307
Irf9	Enpp1	0.326627662
Fosl1	Cyp11a1	0.326336681
Stat3	Cish	0.325721134
Rela	Tnfaip8	0.324094251
Lyl1_Tal2	Ppp1r10	0.32340766
Bach1	Slc9a8	0.322370867
Klf10_Klf11	Wisp1	0.322268769
Ets1	Lgals3	0.322209313
Irf9	Tab2	0.321543991
Irf7	Serpinb6b	0.319426412
E2f1	Nedd4	0.319159419
Stat2	Aste1	0.319071571
Nfatc1	Zmat3	0.318828538
Fos	Slc39a1	0.318539754
Ets1	Rgs1	0.317806903
E4f1	Dnajc27	0.316280654
Atf3	Arf1	0.316025911
Tef	Prnp	0.315422831
Srebf1	Rab21	0.315317119
Rel	Lif	0.315276035
Klf7	Ddit4	0.31525367
Stat2	Vav3	0.314512048
Mxi1	Galk1	0.314285553
Rela	Wdr1	0.313916103
Irf4	Tubgcp5	0.313798317
Srebf1	Helb	0.31366411
Atf2	Hist3h2a	0.313433471
Mxi1	Rpn1	0.313284694
Atf3	0610012G03Rik	0.31321074
Egr1	Nucks1	0.312699823
Fos	Galnt3	0.312327505
Hif1a	Hook2	0.312194821
Irf9	Cxcl10	0.312158181
Foxo1	Iqgap2	0.311924994
Stat1	Cdk5	0.311830264
Jun	Lrrfip1	0.311373939
Bcl6	Batf	0.311115469
Rorc	Tspan5	0.31060054
Fos	Mettl8	0.310295594
Irf1	Il7r	0.309782709
Crem	Plaur	0.309776617
Srebf2	Igfbp4	0.309313618
Fli1	Zfp36l1	0.308971731
Zfp281	Sgk1	0.30865744
Klf4	Trib3	0.308403961
Stat3	Dst	0.306611272
Gata3	Ell2	0.305449743
Nfe2l2	Ifitm1	0.304856389
Bcl6	1600014C10Rik	0.30370588
Foxk2_Foxp1...	H2-Ab1	0.303671766
Cux1	Vrk2	0.302203841
Runx1	Rcan3	0.300954363
Rxra	Ada	0.300570001
Junb	Inpp5a	0.300424257
Junb	Fyco1	0.300271149
E2f1	Rps14	0.299915023
Cdc5l	Myo6	0.299201351
Ets1	Itga3	0.299053622
Myc	Plagl1	0.29829113
Fosl1	Ube2v1	0.298212854
Mafg	Tnfrsf18	0.297783934
Bcl6	Ier3	0.297189348
Klf4	Snx10	0.297079415
Batf	Zbp1	0.296834729
Klf7	Ahr	0.296108294
Klf4	Dhrs1	0.29571719
Patz1	Bbc3	0.29568568
Runx1	Trp53i13	0.295576992
Atf3	Chmp4b	0.295358574
Cdc5l	Fut8	0.294400861
Jun	Chmp4b	0.294238275
Klf3	Mapk14	0.290235853
Elf1	Marcks	0.28935619
Hmga1_Hmga1-rs1	Padi2	0.28920174
Elf1	Moap1	0.288973462
Rel	Tnfrsf25	0.288706821
Rorc	Mvp	0.288065616
Foxo3	Tspan13	0.287680208
Fosl1	Nupr1	0.287561215
Stat1	Ripk2	0.287288911
Bcl6	Sh3bp1	0.287268624
Klf4	Idi1	0.286903875
Tcf3	Naga	0.286286976
Hmga1_Hmga1-rs1	Foxo1	0.285153942
Bhlhe40	Tnfrsf25	0.284870147
Irf4	Ifit1	0.284384294
Klf2	Ncdn	0.283239799
Bach1	Isg20	0.282855411
Jun	Creb3l2	0.282774369
Sp3	Mpp1	0.28135023
Etv6	Pigc	0.281145022
Klf4	Max	0.28105918
Atf5	Rorc	0.280892904
Tbx21	Flot1	0.280475274
Ets2	Gtf2i	0.280250367
Srebf1	Tcf25	0.280094625
Stat3	Mllt6	0.279947547
Bcl6	Vamp4	0.279906867
Klf3	Ascc1	0.279566787
Foxo3	Mgst3	0.278956727
Tbx21	Gem	0.278875427
Irf2	Ebag9	0.278077207
Elk3	Slc35d1	0.277681297
Egr3	Hspb11	0.276899364
Fos	Stambp	0.276376396
Irf9	Nrf1	0.27612796
Tcf12	Cttn	0.275558213
Irf8	Cmas	0.274890288
Gabpa	Slc29a3	0.274798338
Bhlhe40	Stat5b	0.27407699
Arid3a	Lclat1	0.272931486
Sp2	Stra6	0.271766014
Pou2f2	Ap3b1	0.271427242
Zbtb7a	Rreb1	0.270344739
Batf	Rps6ka3	0.270160063
Lyl1_Tal2	Tnfrsf18	0.269591764
Arid3a	Nln	0.268937868
Zfx	Tom1	0.268505957
Egr1	Pde6d	0.268396774
Nr3c1	Cd70	0.267451493
Runx2	Rpl10a	0.266588136
Foxo1	Ctss	0.265484127
Fosl1	Casp6	0.264795575
Nr3c1	Bpnt1	0.264725222
Pknox1	Ankmy2	0.264581123
Nfe2l2	Wdr1	0.264003225
Nfkb1	Notch1	0.263453568
Irf1	Calcrl	0.26340653
Egr1	Nsf	0.26279626
Gabpa	Ormdl1	0.262756941
Elk4	P4hb	0.262489586
Foxo3	Il4ra	0.262056183
Rest	Rbmx	0.261652776
Batf	Riok3	0.261028352
Myc	Pdcd1lg2	0.260219754
Ets1	Rexo4	0.260128869
Batf	Myo18a	0.258438249
Junb	Dock9	0.258331763
Mga	Ier3	0.257893637
Bcl6	Rap1gds1	0.257679948
Egr2	Sh2b1	0.257591838
Irf7	Tmem19	0.256731075
Nr3c1	Eci1	0.256683856
Irf4	Cst3	0.256028401
Atf3	Dnajc21	0.255847359
Egr1	Tubb6	0.2557109
Srebf1	Acox1	0.255512661
Batf	Vwa5a	0.255086032
Sox4	Rap2b	0.254647353
Stat1	Acox1	0.254429081
Tcf12	Angptl4	0.253538894
Batf	Anxa11	0.252915316
Irf2	Cyth3	0.252211044
Sp4	Zfp7	0.252188656
Rest	Nudt4	0.251403839
Myc	Jmjd6	0.251126437
Zbtb7b	Sec14l1	0.250659315
Batf	Auh	0.250074052
Nfatc1	Rab8b	0.249929278
Fosl1	Creb1	0.24830545
Rreb1	Ptp4a1	0.248124704
E2f1	Cnot1	0.247963375
Pou2af1	Aste1	0.246383486
Fosl2	Ddit3	0.246126048
Stat1	Trib3	0.244633217
Erf	Riok3	0.244187756
Zbtb7b	Dock9	0.24383701
Irf9	Zbp1	0.243400295
Jun	Ndst1	0.241739803
Elf1	Lif	0.241622253
Irf4	Mnda	0.241353466
Sp3	Pcbp4	0.240104164
Stat4	Casp6	0.239185557
Egr2	Nfe2l2	0.237895129
Bcl6	Slc38a1	0.237268649
Tcf3	Ms4a6c	0.235769377
Zfx	Slc9a8	0.234135833
Foxo3	Auh	0.233656866
Elk3	Ddit3	0.229662364
Srebf1	Ick	0.229355047
Bcl11b	Tnfaip8	0.22929787
Sp3	Cln6	0.228766021
Elk3	Il7r	0.227692936
Etv6	Ptprcap	0.227475487
Fli1	Fyco1	0.22709137
Tbx21	Cysltr1	0.226698804
Stat1	Ascc1	0.226262912
Sp3	Nfil3	0.226036519
Sp2	Ehd4	0.225829335
Fos	Srxn1	0.224688521
Crem	Wdr82	0.223126499
Sox4	Itpr1	0.222368726
Klf2	Mapk7	0.220261031
Zeb1	Vapb	0.218801669
Srebf2	Sertad3	0.218650423
Fos	Pde7a	0.218427787
Zfx	Fbxw2	0.217637714
Batf	Sema4f	0.216346727
Sp2	Stambp	0.214360637
Fos	Plod2	0.214147118
Bach1	Adora2a	0.211719917
Nfatc1	Slc38a1	0.203150267
Fosl2	Plaur	0.201853362
Fos	Adora2a	0.201289178
Gfi1	Rorc	0.200646074
Bcl6	Surf4	0.199172982
Zbtb7b	Rps6ka3	0.199129156
Cebpb	Nfil3	0.198895758
Pou6f1	9030617O03Rik	0.198192315
Klf4	Adam9	0.195810616
Hmga1_Hmga1-rs1	Rap1gds1	0.195088865
Irf1	Zbp1	0.1937649
Sp3	Gnb5	0.193552304
Klf2	Inpp5a	0.193383869
Irf2	Cnot1	0.193356481
Fosl1	Gnb5	0.193345785
Bach1	Exoc6	0.192890863
Bcl6	BC021614	0.192567169
Foxn2	Creb1	0.188592802
Batf	Cd28	0.187549545
Jun	Srxn1	0.186547998
Fosl1	Ndst1	0.185978638
Egr2	Arrb1	0.18475116
Nr3c1	Pdcd1lg2	0.184614926
Pou6f1	Tmem19	0.184190824
Runx1	Gem	0.182244597
Fos	Tubb6	0.177588798
Zbtb7a	Mapk7	0.177468593
Zfx	Smg5	0.174216715
Klf7	Adam9	0.172773756
Hif1a	Jmjd6	0.172039489
Egr1	Nfyb	0.171025142
Bcl6	Cndp2	0.16692935
Rela	Gimap7	0.165244953
Stat1	Ick	0.159427631
Hif1a	Rexo4	0.158166383
Foxo1	Plekha2	0.157293047
Irf8	Ifnar1	0.156515837
Gabpa	Plekha2	0.155395276
Arid5a	Cyr61	0.154997953
Arid3a	Vapb	0.15180416
Nr3c1	Tlcd1	0.148348064
Sox4	Gtf2i	0.147495009
Myc	Rpp14	0.147469272
Irf7	Pde7a	0.143463956
Klf4	Nfyb	0.141200313
Bcl6	Cttn	0.13803205
Irf2	Atad2b	0.133386027
Stat3	Chmp4b	0.131864842
Egr1	Tlcd1	0.131158248
Irf4	Atad2b	0.127235051
Sp2	Ddit4	0.125901986
Crem	Vgll4	0.12148523
Creb1	Inpp5a	0.119601754
Arid3a	Cyr61	0.118541118
Fosl2	Sun1	0.115287589
Fosl1	Dst	0.112488554
Atf2	Vgll4	0.109727334
Stat2	Tapbp	0.105891591
Arid3a	9030617O03Rik	0.105017481
Pou2f2	Klf4	0.102281989
Egr1	Zfp7	0.098413448
Atf5	Surf4	0.085058976
Klf3	Arrb1	0.084898757
Egr1	Cox17	0.080678933
Stat3	Adam19	0.080103501
Bcl6	Flot1	0.077833552
Nr3c1	Tmem19	0.077197661
Foxo1	Cdkn1b	0.074986777
Irf8	Rsad2	0.073718211
E2f1	Tulp3	0.071617976
Sp2	Bcl2l2	0.071028592
Stat1	Helb	0.069136761
Egr2	Inpp1	0.06746052
Irf9	Cmas	0.060387804
Runx1	Flot1	0.040178084
Klf7	Zfp7	0.037674145
Nr4a2	Trim12a	0.03531206
Runx1	Lpxn	0.01710047
Junb	Bcl11b	0.015656459
Zfx	Pknox1	0.015128946
Egr2	Rab4b	0.014321798
Stat2	BC094916	0.012555511
Foxo1	Ccng2	0.012148884
Tbx21	Lpxn	0.011178954
Elk4	Txndc17	0.011178532
Stat2	Glcci1	0.003837362
Hmga1_Hmga1-rs1	Antxr2	0.002934901
Junb	Acvr1b	0.002785216
Cebpb	Rnf181	0.001750254
Mga	Flot1	0.001236065
